scale,source,rule_id,anchor_p,seed_q0,true_q_for_audit_only,audit_true_q_source,candidate_bound,trace_window,visible_candidate_count,selected_q,selected_defect,true_q_defect,selected_delta_from_true,failure_mode,pure_pgs_eligible_input
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998227,999999998233,999999998237,artifact,128,64,5,999999998243,0,1,6,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998203,999999998209,999999998227,artifact,128,64,7,999999998227,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998203,999999998209,999999998227,artifact,128,64,7,999999998311,0,2,84,selected_too_late,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998203,999999998209,999999998227,artifact,128,64,7,999999998237,0,1,10,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998183,999999998189,999999998191,artifact,128,64,10,999999998191,0,0,0,correct,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998183,999999998189,999999998191,artifact,128,64,10,999999998279,0,2,88,selected_too_late,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998183,999999998189,999999998191,artifact,128,64,10,999999998203,0,6,12,selected_too_late,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998069,999999998089,999999998141,artifact,128,64,8,999999998099,0,0,-42,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998069,999999998089,999999998141,artifact,128,64,8,999999998099,0,1,-42,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998069,999999998089,999999998141,artifact,128,64,8,999999998141,0,0,0,correct,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999998021,999999998027,999999998047,artifact,128,64,8,999999998033,0,0,-14,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999998021,999999998027,999999998047,artifact,128,64,8,999999998033,1,2,-14,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999998021,999999998027,999999998047,artifact,128,64,8,999999998047,0,0,0,correct,True
1000000000000,shadow_seed_recovery,literal_reanchor_identity,999999997939,999999997949,999999998021,artifact,128,64,8,999999997951,0,0,-70,selected_too_early,True
1000000000000,shadow_seed_recovery,seed_offset_phase_wall,999999997939,999999997949,999999998021,artifact,128,64,8,999999997951,0,2,-70,selected_too_early,True
1000000000000,shadow_seed_recovery,candidate_margin_phase_wall,999999997939,999999997949,999999998021,artifact,128,64,8,999999998021,0,0,0,correct,True
