anchor_p,actual_offset,candidate_count,rejected_count,active_count,resolved_count,unresolved_count,unique_resolved,unique_resolved_match,true_boundary_rejected,candidate_bound_miss
100000000000006031,30,273,244,29,1,28,False,False,False,False
100000000000006061,42,273,244,29,1,28,False,False,False,False
100000000000006103,86,272,243,29,1,28,False,False,False,False
100000000000006189,28,273,239,34,1,33,False,False,False,False
100000000000006217,24,273,240,33,1,32,False,False,False,False
100000000000006241,62,273,241,32,1,31,False,False,False,False
100000000000006303,10,273,272,1,1,0,True,True,False,False
100000000000006313,36,272,239,33,1,32,False,False,False,False
100000000000006349,110,273,241,32,1,31,False,False,False,False
100000000000006459,12,273,241,32,1,31,False,False,False,False
100000000000006471,22,272,271,1,1,0,True,True,False,False
100000000000006493,14,272,242,30,1,29,False,False,False,False
100000000000006507,42,273,244,29,1,28,False,False,False,False
100000000000006549,10,273,272,1,1,0,True,True,False,False
100000000000006559,18,273,244,29,1,28,False,False,False,False
100000000000006577,66,273,244,29,1,28,False,False,False,False
100000000000006643,38,272,243,29,1,28,False,False,False,False
100000000000006681,28,272,271,1,1,0,True,True,False,False
100000000000006709,32,273,246,27,1,26,False,False,False,False
100000000000006741,18,272,245,27,1,26,False,False,False,False
100000000000006759,24,273,247,26,1,25,False,False,False,False
100000000000006783,40,273,247,26,1,25,False,False,False,False
100000000000006823,8,272,271,1,1,0,True,True,False,False
100000000000006831,22,272,248,24,1,23,False,False,False,False
100000000000006853,36,272,249,23,1,22,False,False,False,False
100000000000006889,32,273,250,23,1,22,False,False,False,False
100000000000006921,48,272,250,22,1,21,False,False,False,False
100000000000006969,22,273,252,21,1,20,False,False,False,False
100000000000006991,48,273,252,21,1,20,False,False,False,False
100000000000007039,18,273,252,21,1,20,False,False,False,False
100000000000007057,42,273,252,21,1,20,False,False,False,False
100000000000007099,42,273,272,1,1,0,True,True,False,False
100000000000007141,26,273,253,20,1,19,False,False,False,False
100000000000007167,4,273,272,1,1,0,True,True,False,False
100000000000007171,26,273,254,19,1,18,False,False,False,False
100000000000007197,4,273,272,1,1,0,True,True,False,False
100000000000007201,2,273,272,1,1,0,True,True,False,False
100000000000007203,66,273,256,17,1,16,False,False,False,False
100000000000007269,12,273,257,16,1,15,False,False,False,False
100000000000007281,52,272,257,15,1,14,False,False,False,False
100000000000007333,48,272,257,15,1,14,False,False,False,False
100000000000007381,152,273,258,15,1,14,False,False,False,False
100000000000007533,4,273,272,1,1,0,True,True,False,False
100000000000007537,56,273,258,15,1,14,False,False,False,False
100000000000007593,66,273,259,14,1,13,False,False,False,False
100000000000007659,94,273,258,15,1,14,False,False,False,False
100000000000007753,38,272,255,17,1,16,False,False,False,False
100000000000007791,118,272,255,17,1,16,False,False,False,False
100000000000007909,98,273,256,17,1,16,False,False,False,False
100000000000008007,34,273,254,19,1,18,False,False,False,False
100000000000008041,30,273,254,19,1,18,False,False,False,False
100000000000008071,38,273,255,18,1,17,False,False,False,False
100000000000008109,72,273,254,19,1,18,False,False,False,False
