scale,p,chain_seed,q,chain_position_selected,has_false_preterminal_nodes,gwr_status,gwr_recovered_q,matches_terminal_q,error
1000000000000000,999999999991451,999999999991459,999999999991483,2,True,ok,999999999991483,True,
1000000000000000,999999999991411,999999999991429,999999999991441,1,False,ok,999999999991441,True,
1000000000000000,999999999991189,999999999991217,999999999991243,4,True,ok,999999999991243,True,
1000000000000000,999999999991127,999999999991151,999999999991189,1,False,ok,999999999991189,True,
1000000000000000,999999999991099,999999999991103,999999999991127,3,True,ok,999999999991127,True,
1000000000000000,999999999991067,999999999991079,999999999991099,2,True,ok,999999999991099,True,
1000000000000000,999999999991019,999999999991033,999999999991051,1,False,ok,999999999991051,True,
1000000000000000,999999999990977,999999999990989,999999999991019,1,False,ok,999999999991019,True,
1000000000000000,999999999990913,999999999990917,999999999990977,4,True,ok,999999999990977,True,
1000000000000000,999999999990883,999999999990899,999999999990913,2,True,ok,999999999990913,True,
1000000000000000,999999999990869,999999999990877,999999999990883,1,False,error,,False,"ValueError: no d=4 witness exists in [999999999990877, 999999999990883)"
1000000000000000,999999999990829,999999999990833,999999999990851,1,False,ok,999999999990851,True,
1000000000000000,999999999990799,999999999990821,999999999990829,1,False,ok,999999999990829,True,
1000000000000000,999999999990721,999999999990727,999999999990767,3,True,ok,999999999990767,True,
1000000000000000,999999999990697,999999999990709,999999999990721,1,False,ok,999999999990721,True,
1000000000000000,999999999990671,999999999990679,999999999990697,1,False,ok,999999999990697,True,
1000000000000000,999999999990577,999999999990599,999999999990659,4,True,ok,999999999990659,True,
1000000000000000,999999999990493,999999999990503,999999999990577,4,True,ok,999999999990577,True,
1000000000000000,999999999990461,999999999990463,999999999990493,1,False,ok,999999999990493,True,
1000000000000000,999999999990443,999999999990457,999999999990461,1,False,ok,999999999990461,True,
1000000000000000000,999999999999999967,999999999999999983,999999999999999989,1,False,ok,999999999999999989,True,
1000000000000000000,999999999999999877,999999999999999881,999999999999999967,1,False,ok,999999999999999967,True,
1000000000000000000,999999999999999829,999999999999999833,999999999999999863,2,True,ok,999999999999999863,True,
1000000000000000000,999999999999999749,999999999999999767,999999999999999829,4,True,ok,999999999999999829,True,
1000000000000000000,999999999999999709,999999999999999727,999999999999999737,1,False,ok,999999999999999737,True,
1000000000000000000,999999999999999637,999999999999999641,999999999999999709,6,True,ok,999999999999999709,True,
1000000000000000000,999999999999999613,999999999999999617,999999999999999631,1,False,ok,999999999999999631,True,
1000000000000000000,999999999999999569,999999999999999599,999999999999999601,1,False,error,,False,"ValueError: no d=4 witness exists in [999999999999999599, 999999999999999601)"
1000000000000000000,999999999999999539,999999999999999541,999999999999999569,4,True,ok,999999999999999569,True,
1000000000000000000,999999999999999487,999999999999999491,999999999999999503,1,False,ok,999999999999999503,True,
1000000000000000000,999999999999999419,999999999999999431,999999999999999443,1,False,ok,999999999999999443,True,
1000000000000000000,999999999999999359,999999999999999367,999999999999999371,1,False,ok,999999999999999371,True,
1000000000000000000,999999999999999331,999999999999999343,999999999999999359,1,False,ok,999999999999999359,True,
1000000000000000000,999999999999999161,999999999999999181,999999999999999283,4,True,ok,999999999999999283,True,
1000000000000000000,999999999999999121,999999999999999143,999999999999999157,1,False,ok,999999999999999157,True,
1000000000000000000,999999999999999079,999999999999999109,999999999999999121,2,True,ok,999999999999999121,True,
1000000000000000000,999999999999999073,999999999999999077,999999999999999079,1,False,ok,999999999999999079,True,
