scale,anchor_p,seed_q0,recovered_q_for_audit_only,true_margin_q_minus_q0,visible_open_count_after_seed,true_visible_open_ordinal_of_q,threat_witness_bound,threat_n,threat_witness,threat_delta_from_seed,selected_candidate_n,predicted_margin_qhat_minus_q0,predicted_visible_open_ordinal,margin_error_qhat_minus_q,failure_mode
1000000000000,999999992977,999999992987,999999993029,42,7,1,97,999999992993,73,6,,,,,no_selection
1000000000000,999999992941,999999992947,999999992977,30,4,1,97,999999992953,13,6,,,,,no_selection
1000000000000,999999992843,999999992911,999999992941,30,3,2,97,999999992927,13,16,999999992917,6,1,-24,selected_too_early
1000000000000,999999992743,999999992749,999999992843,94,4,4,97,999999992759,29,10,,,,,no_selection
1000000000000,999999992647,999999992653,999999992731,78,8,4,97,999999992659,19,6,,,,,no_selection
1000000000000,999999992539,999999992567,999999992611,44,5,2,97,999999992579,7,12,999999992569,2,1,-42,selected_too_early
1000000000000,999999992447,999999992461,999999992531,70,6,3,97,999999992467,7,6,,,,,no_selection
1000000000000000,999999999999989,1000000000000003,1000000000000037,34,6,3,97,1000000000000007,47,4,,,,,no_selection
1000000000000000,999999999999947,999999999999967,999999999999989,22,6,1,97,999999999999971,17,4,,,,,no_selection
1000000000000000,999999999999883,999999999999893,999999999999947,54,5,2,97,999999999999913,11,20,999999999999907,14,1,-40,selected_too_early
1000000000000000,999999999999877,999999999999881,999999999999883,2,7,1,97,999999999999889,7,8,999999999999883,2,1,0,correct
1000000000000000,999999999999827,999999999999839,999999999999877,38,7,2,97,999999999999847,7,8,,,,,no_selection
1000000000000000,999999999999809,999999999999817,999999999999827,10,8,1,97,999999999999821,19,4,,,,,no_selection
1000000000000000,999999999999577,999999999999599,999999999999643,44,6,3,97,999999999999611,13,12,,,,,no_selection
1000000000000000,999999999999521,999999999999551,999999999999571,20,6,1,97,999999999999553,7,2,,,,,no_selection
1000000000000000,999999999999409,999999999999421,999999999999491,70,5,4,97,999999999999427,7,6,,,,,no_selection
1000000000000000,999999999999353,999999999999361,999999999999389,28,7,2,97,999999999999371,7,10,999999999999367,6,1,-22,selected_too_early
