left_prime,right_prime,left_residue_mod30,right_residue_mod30,preceding_type_key,preceding_family,preceding_gap_width,following_type_key,following_family,following_gap_width,same_outer_family
372269,372271,29,1,o6_d4_a2_odd_semiprime,odd_semiprime,6,o6_d6_a4_higher_divisor_odd,higher_divisor_odd,6,False
372311,372313,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,12,o4_d4_a1_even_semiprime,even_semiprime,40,False
372611,372613,11,13,o4_d12_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d4_a4_odd_semiprime,odd_semiprime,16,False
372707,372709,17,19,o2_d4_a4_odd_semiprime,odd_semiprime,18,o4_d6_a7_higher_divisor_even,higher_divisor_even,10,False
372941,372943,11,13,o2_d4_a2_odd_semiprime,odd_semiprime,24,o4_d4_a4_odd_semiprime,odd_semiprime,28,True
372971,372973,11,13,o4_d4_a4_odd_semiprime,odd_semiprime,28,o4_d8_a1_higher_divisor_even,higher_divisor_even,6,False
373181,373183,11,13,o6_d4_a3_even_semiprime,even_semiprime,10,o4_d8_a3_higher_divisor_even,higher_divisor_even,4,False
373211,373213,11,13,o4_d8_a2_higher_divisor_odd,higher_divisor_odd,4,o4_d4_a10_odd_semiprime,odd_semiprime,16,False
373229,373231,29,1,o4_d4_a10_odd_semiprime,odd_semiprime,16,o6_d4_a6_odd_semiprime,odd_semiprime,42,True
373361,373363,11,13,o4_d4_a1_even_semiprime,even_semiprime,4,o4_d4_a4_odd_semiprime,odd_semiprime,16,False
373487,373489,17,19,o6_d4_a3_even_semiprime,even_semiprime,24,o4_d4_a4_odd_semiprime,odd_semiprime,12,False
