surface_group,population,scheme_name,stratum_key,count,low_count,high_count,low_utilization_min,low_utilization_max,high_utilization_min,high_utilization_max,low_next_triad_share,high_next_triad_share,lift
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|4|6,2797,1398,1398,6.532958777030116e-05,0.0019329896907216496,0.0019342359767891683,0.8846153846153846,0.5722460658082976,0.5450643776824035,0.027181688125894166
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|6|2,2040,1020,1020,6.212723658051689e-05,0.0021451555237754737,0.002145922746781116,0.8181818181818182,0.6019607843137255,0.5549019607843138,0.04705882352941171
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|6|4,2083,1041,1041,0.00011474469305794607,0.002292920607623961,0.0022988505747126436,0.6666666666666666,0.6013448607108549,0.5763688760806917,0.02497598463016326
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|6|6,3677,1838,1838,5.932957579353308e-05,0.0020047384727537817,0.0020100502512562816,0.8333333333333334,0.5701849836779108,0.5680087051142546,0.0021762785636562088
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|8|2,769,384,384,0.00014549687181725592,0.002103049421661409,0.002109704641350211,0.7142857142857143,0.6223958333333334,0.5182291666666666,0.10416666666666674
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|8|4,349,174,174,8.501955449753443e-05,0.0017469428500124782,0.0018148820326678765,0.19230769230769232,0.5919540229885057,0.6091954022988506,-0.017241379310344862
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|8|6,663,331,331,7.037297677691766e-05,0.002207505518763797,0.002242152466367713,0.4,0.540785498489426,0.5498489425981873,-0.009063444108761254
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|10|2,138,69,69,6.916107614634484e-05,0.0016361256544502618,0.0016806722689075631,0.4,0.6811594202898551,0.5072463768115942,0.17391304347826086
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|10|4,479,239,239,5.9755004481625337e-05,0.0016589861751152074,0.0016703786191536749,0.375,0.5732217573221757,0.5815899581589958,-0.008368200836820106
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|10|6,336,168,168,5.770673437590167e-05,0.0014021967749474175,0.001415762151958471,0.75,0.5357142857142857,0.6309523809523809,-0.09523809523809523
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|12|2,142,71,71,9.79431929480901e-05,0.00132890365448505,0.0013574660633484162,0.17142857142857143,0.5774647887323944,0.5070422535211268,0.07042253521126762
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|12|4,103,51,51,0.00011606313834726091,0.0021231422505307855,0.0023375409069658717,0.6,0.5490196078431373,0.6274509803921569,-0.07843137254901955
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|12|6,88,44,44,0.00010249051962693452,0.0013912075681691708,0.0014775413711583924,0.09278350515463918,0.5227272727272727,0.6363636363636364,-0.11363636363636365
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|14|2,29,14,14,0.00018211619012930248,0.0011261261261261261,0.0012437810945273632,0.013816925734024179,0.7857142857142857,0.6428571428571429,0.1428571428571428
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|14|4,16,8,8,0.0001904036557501904,0.0007578628268283441,0.0012146978439113271,0.0076481835564053535,0.25,0.5,-0.25
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|14|6,38,19,19,0.00023946360153256704,0.0013808340237503453,0.0016937669376693768,0.013123359580052493,0.5789473684210527,0.5789473684210527,0.0
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|16|4,9,4,4,0.00031496062992125983,0.001195933824995017,0.0019278435692646654,0.018957345971563982,0.25,0.5,-0.25
baseline_1e6,all_d4,matched_base_scheme,odd_semiprime|18|4,9,4,4,0.0003028467595396729,0.002173913043478261,0.00508130081300813,0.03546099290780142,0.75,0.25,0.5
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|4,728,364,364,8.494973807164094e-05,0.0008995502248875562,0.0008995502248875562,0.2727272727272727,0.6401098901098901,0.554945054945055,0.08516483516483508
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|6,571,285,285,0.0001421625771231981,0.001447178002894356,0.0014675667742882301,0.45454545454545453,0.5298245614035088,0.5228070175438596,0.007017543859649145
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|10,411,205,205,0.0002603338057909809,0.002287166454891995,0.00232258064516129,0.8181818181818182,0.6926829268292682,0.5414634146341464,0.15121951219512186
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|12,179,89,89,0.0003477601087540704,0.002464709836432893,0.0025328114206769514,0.4782608695652174,0.7078651685393258,0.7191011235955056,-0.011235955056179803
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|16,286,143,143,0.00048115477145148355,0.004046398705152414,0.004112969564025226,0.3191489361702128,0.6993006993006993,0.6223776223776224,0.07692307692307687
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|18,108,54,54,0.0005127431759915548,0.0030603060306030605,0.0031278748850045997,0.3617021276595745,0.6481481481481481,0.5740740740740741,0.07407407407407407
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|22,106,53,53,0.0008117196861350547,0.00471804088968771,0.0051941627504328465,0.29577464788732394,0.49056603773584906,0.6226415094339622,-0.13207547169811318
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|24,135,67,67,0.0006734795467189834,0.004928219412899079,0.004992402865205123,0.48936170212765956,0.5671641791044776,0.5074626865671642,0.05970149253731338
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|28,72,36,36,0.0007606705169742218,0.007077326343381389,0.007952871870397643,0.12558139534883722,0.6111111111111112,0.5277777777777778,0.08333333333333337
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|30,72,36,36,0.0008826662608430985,0.006463115667483842,0.006515389800044934,0.13488372093023257,0.6111111111111112,0.4722222222222222,0.13888888888888895
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|34,60,30,30,0.0012996731125201842,0.006825232678386763,0.006998939554612937,0.4647887323943662,0.4666666666666667,0.5,-0.033333333333333326
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|36,40,20,20,0.0013073848567479735,0.006768516727905628,0.007366870132603663,0.3684210526315789,0.7,0.7,0.0
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|40,32,16,16,0.0015678391959798995,0.006144635260753112,0.007455553431466259,0.17180616740088106,0.6875,0.6875,0.0
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|42,11,5,5,0.0011777886300307374,0.00862976215533572,0.00957272939528368,0.042224510813594233,0.6,0.4,0.19999999999999996
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|4|46,18,9,9,0.0019644650106954206,0.007311129163281885,0.011097410604192354,0.07364975450081833,0.6666666666666666,0.6666666666666666,0.0
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|6|6,368,184,184,0.00015296601095236639,0.0014128284826222096,0.001417635384179189,0.10638297872340426,0.7445652173913043,0.7065217391304348,0.03804347826086951
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|6|10,308,154,154,0.00027333191605673153,0.002280212819863187,0.0023082841754295974,0.19148936170212766,0.5844155844155844,0.564935064935065,0.01948051948051943
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|6|12,241,120,120,0.0003421781192646281,0.0023814678501840225,0.002546885853206761,0.1864406779661017,0.475,0.43333333333333335,0.04166666666666663
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|6|16,136,68,68,0.0004458049751835231,0.004033342296316214,0.004046398705152414,0.3191489361702128,0.5735294117647058,0.4411764705882353,0.13235294117647056
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|6|18,123,61,61,0.0007122805547408556,0.003788722977490528,0.0038928326081978477,0.3617021276595745,0.5081967213114754,0.5573770491803278,-0.0491803278688524
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|6|22,114,57,57,0.0008181711925819145,0.0053204965796807705,0.005385996409335727,0.19626168224299065,0.5964912280701754,0.5263157894736842,0.07017543859649122
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|6|28,43,21,21,0.0012976402172345846,0.0070330815316488665,0.008038106579339089,0.0903010033444816,0.8095238095238095,0.7142857142857143,0.09523809523809523
baseline_1e6,all_d4,matched_gap_width_confirmatory_scheme,even_semiprime|1|6|30,28,14,14,0.0008112568886899599,0.006640714449278681,0.006926200143300693,0.05380333951762523,0.35714285714285715,0.42857142857142855,-0.0714285714285714
