p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
2003,4012009,4011991,18,6,60,116
2011,4044121,4044077,44,2,44,116
2017,4068289,4068283,6,4,60,116
2027,4108729,4108717,12,4,60,116
2029,4116841,4116823,18,4,60,116
2039,4157521,4157513,8,6,60,117
2053,4214809,4214807,2,2,44,117
2063,4255969,4255963,6,4,60,117
2069,4280761,4280747,14,2,44,117
2081,4330561,4330559,2,2,44,117
2083,4338889,4338883,6,4,60,117
2087,4355569,4355567,2,2,44,117
2089,4363921,4363897,24,4,60,117
2099,4405801,4405789,12,4,60,118
2111,4456321,4456301,20,2,44,118
2113,4464769,4464767,2,2,44,118
2129,4532641,4532639,2,2,44,118
2131,4541161,4541153,8,6,60,118
2137,4566769,4566767,2,2,44,118
2141,4583881,4583869,12,4,60,118
2143,4592449,4592429,20,2,44,118
2153,4635409,4635403,6,4,60,118
2161,4669921,4669913,8,6,60,118
2179,4748041,4748039,2,2,44,119
2203,4853209,4853203,6,4,60,119
2207,4870849,4870843,6,4,60,119
2213,4897369,4897363,6,4,60,119
2221,4932841,4932827,14,2,44,119
2237,5004169,5004157,12,4,60,119
2239,5013121,5013119,2,2,44,120
2243,5031049,5031041,8,2,44,120
2251,5067001,5066993,8,6,60,120
2267,5139289,5139271,18,6,60,120
2269,5148361,5148359,2,2,44,120
2273,5166529,5166527,2,2,44,120
2281,5202961,5202917,44,2,44,120
2287,5230369,5230367,2,2,44,120
2293,5257849,5257829,20,2,44,120
2297,5276209,5276207,2,2,44,120
2309,5331481,5331479,2,2,44,120
2311,5340721,5340707,14,2,44,120
2333,5442889,5442859,30,4,60,121
2339,5470921,5470909,12,4,60,121
2341,5480281,5480269,12,4,60,121
2347,5508409,5508401,8,2,44,121
2351,5527201,5527189,12,4,60,121
2357,5555449,5555401,48,6,60,121
2371,5621641,5621617,24,4,60,121
2377,5650129,5650121,8,2,44,121
2381,5669161,5669159,2,2,44,121
2383,5678689,5678669,20,2,44,121
2389,5707321,5707319,2,2,44,122
2393,5726449,5726447,2,2,44,122
2399,5755201,5755187,14,2,44,122
2411,5812921,5812907,14,2,44,122
2417,5841889,5841883,6,4,60,122
2423,5870929,5870927,2,2,44,122
2437,5938969,5938957,12,4,60,122
