p,square,previous_prime,offset,o_q,fixed_cutoff,dynamic_cutoff
64577,4170188929,4170188833,96,4,60,246
64783,4196837089,4196837011,78,6,60,246
65287,4262392369,4262392319,50,2,44,246
65447,4283309809,4283309759,50,2,44,246
65557,4297720249,4297720171,78,6,60,247
65707,4317409849,4317409781,68,2,44,247
65837,4334510569,4334510483,86,6,60,247
66029,4359828841,4359828773,68,6,60,247
66161,4377277921,4377277847,74,2,44,247
66293,4394761849,4394761759,90,4,60,247
66373,4405375129,4405375021,108,6,60,247
66383,4406702689,4406702579,110,2,44,247
66533,4426640089,4426640027,62,2,44,247
66553,4429301809,4429301711,98,2,44,247
66617,4437824689,4437824609,80,2,44,247
67247,4522159009,4522158929,80,2,44,248
67511,4557735121,4557735011,110,2,44,248
67559,4564218481,4564218419,62,2,44,248
67751,4590198001,4590197893,108,4,60,248
67933,4614892489,4614892393,96,4,60,248
67957,4618153849,4618153723,126,4,60,248
68071,4633661041,4633660949,92,2,44,248
68087,4635839569,4635839519,50,2,44,248
68213,4653013369,4653013319,50,2,44,248
68749,4726425001,4726424929,72,4,60,249
69341,4808174281,4808174201,80,2,44,249
69467,4825664089,4825664009,80,2,44,249
69929,4890065041,4890064969,72,4,60,249
70039,4905461521,4905461423,98,6,60,249
70181,4925372761,4925372689,72,4,60,250
70381,4953485161,4953485111,50,2,44,250
70619,4987043161,4987043099,62,2,44,250
71059,5049381481,5049381377,104,2,44,250
71249,5076420001,5076419923,78,4,60,250
71263,5078415169,5078415091,78,6,60,250
71287,5081836369,5081836303,66,4,60,250
71339,5089252921,5089252859,62,2,44,250
71387,5096103769,5096103707,62,2,44,250
71443,5104102249,5104102169,80,2,44,250
71471,5108103841,5108103757,84,4,60,250
72167,5208075889,5208075827,62,2,44,251
72379,5238719641,5238719569,72,4,60,251
72461,5250596521,5250596431,90,6,60,251
72493,5255235049,5255234921,128,2,44,251
72707,5286307849,5286307799,50,2,44,251
72763,5294454169,5294454089,80,2,44,251
72767,5295036289,5295036217,72,4,60,251
72977,5325642529,5325642463,66,4,60,251
73091,5342294281,5342294231,50,2,44,251
73327,5376848929,5376848879,50,2,44,252
73757,5440095049,5440094999,50,2,44,252
73877,5457811129,5457811067,62,2,44,252
73939,5466975721,5466975653,68,6,60,252
74093,5489772649,5489772599,50,2,44,252
74189,5504007721,5504007671,50,2,44,252
74219,5508459961,5508459889,72,4,60,252
74293,5519449849,5519449799,50,2,44,252
74297,5520044209,5520044119,90,4,60,252
74551,5557851601,5557851539,62,2,44,252
74729,5584423441,5584423379,62,2,44,252
74797,5594591209,5594591147,62,2,44,252
74897,5609560609,5609560543,66,4,60,252
74903,5610459409,5610459343,66,4,60,252
74923,5613455929,5613455849,80,2,44,252
75029,5629350841,5629350767,74,2,44,253
75553,5708255809,5708255741,68,2,44,253
75679,5727311041,5727310991,50,2,44,253
75869,5756105161,5756105111,50,2,44,253
76507,5853321049,5853320987,62,2,44,253
76781,5895321961,5895321911,50,2,44,254
76913,5915609569,5915609501,68,2,44,254
77017,5931618289,5931618239,50,2,44,254
77171,5955363241,5955363191,50,2,44,254
77549,6013847401,6013847351,50,2,44,254
77933,6073552489,6073552423,66,4,60,254
78163,6109454569,6109454501,68,2,44,254
78167,6110079889,6110079827,62,2,44,254
78229,6119776441,6119776391,50,2,44,254
78347,6138252409,6138252283,126,4,60,254
78437,6152362969,6152362891,78,6,60,255
78479,6158953441,6158953369,72,4,60,255
78487,6160209169,6160209119,50,2,44,255
78737,6199515169,6199515071,98,2,44,255
78941,6231681481,6231681361,120,6,60,255
79151,6264880801,6264880751,50,2,44,255
79187,6270580969,6270580903,66,4,60,255
79259,6281989081,6281988991,90,6,60,255
79393,6303248449,6303248351,98,2,44,255
79823,6371711329,6371711279,50,2,44,255
79987,6397920169,6397920079,90,4,60,255
80273,6443754529,6443754437,92,2,44,256
80491,6478801081,6478801003,78,4,60,256
80627,6500713129,6500713049,80,2,44,256
80747,6520078009,6520077947,62,2,44,256
80761,6522339121,6522339071,50,2,44,256
81043,6567967849,6567967787,62,2,44,256
81343,6616683649,6616683583,66,4,60,256
81671,6670152241,6670152101,140,2,44,256
81937,6713671969,6713671897,72,4,60,256
82171,6752073241,6752073173,68,6,60,257
82189,6755031721,6755031611,110,2,44,257
82559,6815988481,6815988419,62,2,44,257
82721,6842763841,6842763791,50,2,44,257
82793,6854680849,6854680757,92,2,44,257
82997,6888502009,6888501959,50,2,44,257
83203,6922739209,6922739143,66,4,60,257
83339,6945388921,6945388841,80,2,44,257
83431,6960731761,6960731693,68,6,60,257
83497,6971749009,6971748929,80,2,44,257
83639,6995482321,6995482271,50,2,44,257
83773,7017915529,7017915433,96,4,60,258
83869,7034009161,7034009111,50,2,44,258
84059,7065915481,7065915431,50,2,44,258
84247,7097557009,7097556943,66,4,60,258
84317,7109356489,7109356439,50,2,44,258
84349,7114753801,7114753721,80,2,44,258
84649,7165453201,7165453117,84,4,60,258
84871,7203086641,7203086591,50,2,44,258
85087,7239797569,7239797519,50,2,44,258
85381,7289915161,7289915111,50,2,44,258
85439,7299822721,7299822653,68,6,60,258
85447,7301189809,7301189747,62,2,44,258
85577,7323422929,7323422863,66,4,60,258
85597,7326846409,7326846313,96,4,60,258
85781,7358379961,7358379887,74,2,44,259
85837,7367990569,7367990507,62,2,44,259
86027,7400644729,7400644649,80,2,44,259
86263,7441305169,7441305119,50,2,44,259
86369,7459604161,7459604111,50,2,44,259
86413,7467206569,7467206503,66,4,60,259
87179,7600178041,7600177979,62,2,44,259
87277,7617274729,7617274663,66,4,60,259
87293,7620067849,7620067783,66,4,60,259
87383,7635788689,7635788639,50,2,44,259
