surface_label,surface_row_index,current_right_prime,actual_next_state,current_state,square_phase_utilization,square_pressure_band,ordinary_regime,high_square_regime,hd_recent_1,hd_recent_2,hd_recent_3,hd_recent_4,hd_recent_6,hd_recent_8,hd_recent_12,triad_return,short_prediction,long_prediction,nontriad_reset_prediction,event_lock_l3_prediction,event_lock_l6_prediction,carrier_regime_prediction,short_hit,long_hit,short_miss,long_repairs_short,long_pollutes_short,nontriad_reset_hit,event_lock_l3_hit,event_lock_l6_hit,carrier_regime_hit,carrier_regime_gate
10^18,190,1000000000000007933,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,5.714288934695692e-10,0,1,0,0,0,0,1,1,1,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,,o2_odd_semiprime|d<=4,0,1,1,1,0,1,0,0,0,0
10^18,191,1000000000000007947,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1.0285720092737972e-08,1,0,1,0,0,0,0,1,1,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,1,1,1,0,1,0,1,1,1
10^18,192,1000000000000008097,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1.428572250204554e-10,0,1,0,0,0,0,0,1,1,1,1,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1,0,0,0,1,0,1,0,1,0
10^18,193,1000000000000008103,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,2.857144502041763e-10,0,1,0,0,0,0,0,0,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,194,1000000000000008113,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,2.571430054041671e-09,0,1,0,0,0,0,0,0,1,1,1,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,1,0,0,0,1,0,1,1,1,0
10^18,195,1000000000000008157,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,4.714288447899545e-09,1,0,1,0,0,0,0,0,0,1,1,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,196,1000000000000008233,o2_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,4.428574018654576e-09,0,1,0,0,0,0,0,0,0,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,197,1000000000000008299,o4_even_semiprime|d<=4,o2_odd_semiprime|d<=4,5.571431855389691e-09,1,0,1,0,0,0,0,0,0,1,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,198,1000000000000008379,o2_higher_divisor_even|5<=d<=16,o4_even_semiprime|d<=4,5.642860501568326e-09,1,0,1,0,0,0,0,0,0,1,0,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,202,1000000000000008523,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,5.571431946124493e-09,1,0,1,0,1,1,1,1,1,1,1,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,1
10^18,203,1000000000000008607,o2_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,4.2857169067362966e-10,0,1,0,0,0,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o2_odd_semiprime|d<=4,o4_even_semiprime|d<=4,o4_even_semiprime|d<=4,o4_odd_semiprime|d<=4,0,1,1,1,0,1,0,0,0,0
10^18,204,1000000000000008617,o2_higher_divisor_even|d>64,o2_odd_semiprime|d<=4,2.28571568620494e-09,0,1,0,0,0,0,1,1,1,1,0,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o6_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,0,0,1,0,0,0,0,0,0,0
10^18,212,1000000000000008907,o4_odd_semiprime|d<=4,o4_even_semiprime|d<=4,3.571430832909595e-10,0,1,0,0,1,1,1,1,1,1,1,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,o4_odd_semiprime|d<=4,,,o4_odd_semiprime|d<=4,1,1,0,0,0,1,0,0,1,0
