anchor_p,offset,candidate_q,carrier,carrier_offset,carrier_d,post_carrier_lower_d_count,post_carrier_ge_d_count,lock_carrier,lock_carrier_offset,lock_carrier_d,lock_threat,lock_threat_offset,lock_threat_d,survivor_lock_carrier,survivor_lock_carrier_offset,survivor_lock_carrier_d,survivor_lock_threat,survivor_lock_threat_offset,survivor_lock_threat_d,interior_prime_offsets,structural_status,structural_reasons,rule_x_status,rule_x_reasons,survivor_lock_status,survivor_lock_reasons,exact_status,exact_reasons
11,38,49,25,14,3,0,17,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,42,53,25,14,3,0,21,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,48,59,25,14,3,0,26,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,50,61,25,14,3,0,27,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,56,67,25,14,3,0,32,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,60,71,25,14,3,0,35,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,62,73,25,14,3,0,36,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,66,77,25,14,3,0,39,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,68,79,25,14,3,0,41,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,72,83,25,14,3,0,44,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,78,89,25,14,3,0,49,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,80,91,25,14,3,0,50,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,86,97,25,14,3,0,56,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,90,101,25,14,3,0,59,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,92,103,25,14,3,0,60,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,96,107,25,14,3,0,63,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,98,109,25,14,3,0,64,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,102,113,25,14,3,0,67,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,108,119,25,14,3,0,72,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,110,121,25,14,3,0,74,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,116,127,25,14,3,0,80,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,120,131,25,14,3,0,83,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102 116,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,122,133,25,14,3,0,84,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102 116 120,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
11,126,137,25,14,3,0,88,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102 116 120,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
11,128,139,25,14,3,0,89,12,1,6,14,3,4,12,1,6,14,3,4,2 6 8 12 18 20 26 30 32 36 42 48 50 56 60 62 68 72 78 86 90 92 96 98 102 116 120 126,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,4,17,14,1,4,0,2,14,1,4,25,12,3,14,1,4,25,12,3,,SURVIVES,,SURVIVES,,SURVIVES,,SURVIVES,
13,6,19,14,1,4,0,3,14,1,4,25,12,3,14,1,4,25,12,3,4,SURVIVES,,SURVIVES,,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,10,23,14,1,4,0,6,14,1,4,25,12,3,14,1,4,25,12,3,4 6,SURVIVES,,SURVIVES,,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,16,29,25,12,3,0,3,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,18,31,25,12,3,0,4,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,24,37,25,12,3,0,9,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,28,41,25,12,3,0,12,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,30,43,25,12,3,0,13,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,34,47,25,12,3,0,16,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,36,49,25,12,3,0,17,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
13,40,53,25,12,3,0,21,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,46,59,25,12,3,0,26,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,48,61,25,12,3,0,27,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,54,67,25,12,3,0,32,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,58,71,25,12,3,0,35,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,60,73,25,12,3,0,36,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,64,77,25,12,3,0,39,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
13,66,79,25,12,3,0,41,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,70,83,25,12,3,0,44,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,76,89,25,12,3,0,49,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,78,91,25,12,3,0,50,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
13,84,97,25,12,3,0,56,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,88,101,25,12,3,0,59,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,90,103,25,12,3,0,60,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84 88,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,94,107,25,12,3,0,63,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84 88 90,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,96,109,25,12,3,0,64,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84 88 90 94,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,100,113,25,12,3,0,67,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84 88 90 94 96,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,106,119,25,12,3,0,72,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84 88 90 94 96 100,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
13,108,121,25,12,3,0,74,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84 88 90 94 96 100,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
13,114,127,25,12,3,0,80,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84 88 90 94 96 100,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,118,131,25,12,3,0,83,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84 88 90 94 96 100 114,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,120,133,25,12,3,0,84,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84 88 90 94 96 100 114 118,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
13,124,137,25,12,3,0,88,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84 88 90 94 96 100 114 118,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,126,139,25,12,3,0,89,14,1,4,25,12,3,14,1,4,25,12,3,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60 66 70 76 84 88 90 94 96 100 114 118 124,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,2,19,18,1,6,0,0,18,1,6,21,4,4,18,1,6,21,4,4,,SURVIVES,,SURVIVES,,SURVIVES,,SURVIVES,
17,6,23,21,4,4,0,1,18,1,6,21,4,4,18,1,6,21,4,4,2,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,12,29,25,8,3,0,3,18,1,6,21,4,4,18,1,6,21,4,4,2 6,SURVIVES,,REJECTED,FIRST_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,SURVIVOR_CARRIER_LOCK_LOWER_D_THREAT_CEILING,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
