scale,anchor_p,seed_s0,terminal_q,terminal_index,chain_index,node_n,least_factor_for_audit_only,sqrt_node,left_distance,center_distance,sqrt_minus_least_factor,two_lane_distance,least_factor_over_sqrt_node,center_distance_over_sqrt_node,two_lane_distance_over_sqrt_node,lane,closure_lane,node_offset_from_anchor,node_offset_from_seed,seed_offset,delta_prev,delta_next,prefix_delta_vector,chain_delta_vector,carrier_to_node_delta,node_mod_30,offset_mod_30,candidate_bound,visible_divisor_bound
1000000000000,999999995993,999999996011,999999996097,5,2,999999996071,186107,999999,186107,813892,813892,186107,0.1861071861071861,0.8138928138928139,0.1861071861071861,low_factor,small_shadow_horizon,78,60,18,52,18,"[8,52]","[8,52,18,2,6]",78,11,18,128,10000
1000000000000,999999995993,999999996011,999999996097,5,3,999999996089,38653,999999,38653,961346,961346,38653,0.03865303865303865,0.9613469613469613,0.03865303865303865,low_factor,small_shadow_horizon,96,78,18,18,2,"[8,52,18]","[8,52,18,2,6]",96,29,6,128,10000
1000000000000,999999995993,999999996011,999999996097,5,4,999999996091,286697,999999,286697,713302,713302,286697,0.2866972866972867,0.7133027133027133,0.2866972866972867,low_factor,small_shadow_horizon,98,80,18,2,6,"[8,52,18,2]","[8,52,18,2,6]",98,1,8,128,10000
1000000000000,999999995653,999999995681,999999995711,3,1,999999995689,16747,999999,16747,983252,983252,16747,0.016747016747016747,0.9832529832529833,0.016747016747016747,low_factor,small_shadow_horizon,36,8,28,8,4,[8],"[8,4,18,36,26]",36,19,6,128,10000
1000000000000,999999995653,999999995681,999999995711,3,2,999999995693,11299,999999,11299,988700,988700,11299,0.0112990112990113,0.9887009887009887,0.0112990112990113,low_factor,small_shadow_horizon,40,12,28,4,18,"[8,4]","[8,4,18,36,26]",40,23,10,128,10000
1000000000000,999999995581,999999995591,999999995653,5,1,999999995609,119389,999999,119389,880610,880610,119389,0.11938911938911939,0.8806108806108807,0.11938911938911939,low_factor,small_shadow_horizon,28,18,10,18,20,[18],"[18,20,10,2,12,28,8,4]",28,29,28,128,10000
1000000000000,999999995581,999999995591,999999995653,5,2,999999995629,226631,999999,226631,773368,773368,226631,0.22663122663122662,0.7733687733687734,0.22663122663122662,low_factor,small_shadow_horizon,48,38,10,20,10,"[18,20]","[18,20,10,2,12,28,8,4]",48,19,18,128,10000
1000000000000,999999995581,999999995591,999999995653,5,3,999999995639,177811,999999,177811,822188,822188,177811,0.1778111778111778,0.8221888221888222,0.1778111778111778,low_factor,small_shadow_horizon,58,48,10,10,2,"[18,20,10]","[18,20,10,2,12,28,8,4]",58,29,28,128,10000
1000000000000,999999995581,999999995591,999999995653,5,4,999999995641,53401,999999,53401,946598,946598,53401,0.0534010534010534,0.9465989465989466,0.0534010534010534,low_factor,small_shadow_horizon,60,50,10,2,12,"[18,20,10,2]","[18,20,10,2,12,28,8,4]",60,1,0,128,10000
1000000000000,999999995537,999999995539,999999995573,2,1,999999995549,383951,999999,383951,616048,616048,383951,0.38395138395138395,0.616048616048616,0.38395138395138395,low_factor,small_shadow_horizon,12,10,2,10,24,[10],"[10,24,8,10,18,20,10,2]",12,29,12,128,10000
1000000000000,999999995147,999999995149,999999995177,2,1,999999995171,35899,999999,35899,964100,964100,35899,0.0358990358990359,0.9641009641009641,0.0358990358990359,low_factor,small_shadow_horizon,24,22,2,22,6,[22],"[22,6,24,6,26,4,20]",24,11,24,128,10000
1000000000000,999999994517,999999994531,999999994579,2,1,999999994549,22573,999999,22573,977426,977426,22573,0.022573022573022572,0.9774269774269774,0.022573022573022572,low_factor,small_shadow_horizon,32,18,14,18,30,[18],"[18,30,4,18,2,4,6,26]",32,19,2,128,10000
