anchor_p,actual_offset,active_count,resolved_count,unresolved_count,old_unique_match,reset_emitted_offset,reset_exact_match,reset_false_emit,tail_after_reset_count,all_unresolved_after_reset,candidate_bound_miss
1000000000000008883,16,2,1,1,False,16,True,False,1,True,False
1000000000000008899,2,1,1,0,True,2,True,False,0,True,False
1000000000000008901,6,28,1,27,False,6,True,False,27,True,False
1000000000000008907,12,27,1,26,False,12,True,False,26,True,False
1000000000000008919,72,26,1,25,False,72,True,False,25,True,False
1000000000000008991,46,28,1,27,False,46,True,False,27,True,False
1000000000000009037,50,29,1,28,False,50,True,False,28,True,False
1000000000000009087,16,1,1,0,True,16,True,False,0,True,False
1000000000000009103,50,29,1,28,False,50,True,False,28,True,False
1000000000000009153,28,31,1,30,False,28,True,False,30,True,False
1000000000000009181,32,31,1,30,False,32,True,False,30,True,False
1000000000000009213,46,30,1,29,False,46,True,False,29,True,False
1000000000000009259,60,29,1,28,False,60,True,False,28,True,False
1000000000000009319,24,28,1,27,False,24,True,False,27,True,False
1000000000000009343,38,27,1,26,False,38,True,False,26,True,False
1000000000000009381,60,27,1,26,False,60,True,False,26,True,False
1000000000000009441,42,28,1,27,False,42,True,False,27,True,False
1000000000000009483,70,29,1,28,False,70,True,False,28,True,False
1000000000000009553,30,28,1,27,False,30,True,False,27,True,False
1000000000000009583,56,27,1,26,False,56,True,False,26,True,False
1000000000000009639,28,29,1,28,False,28,True,False,28,True,False
1000000000000009667,24,29,1,28,False,24,True,False,28,True,False
1000000000000009691,30,29,1,28,False,30,True,False,28,True,False
1000000000000009721,32,29,1,28,False,32,True,False,28,True,False
1000000000000009753,16,28,1,27,False,16,True,False,27,True,False
1000000000000009769,24,27,1,26,False,24,True,False,26,True,False
1000000000000009793,36,26,1,25,False,36,True,False,25,True,False
1000000000000009829,20,26,1,25,False,20,True,False,25,True,False
1000000000000009849,60,26,1,25,False,60,True,False,25,True,False
1000000000000009909,10,1,1,0,True,10,True,False,0,True,False
1000000000000009919,32,26,1,25,False,32,True,False,25,True,False
1000000000000009951,46,25,1,24,False,46,True,False,24,True,False
1000000000000009997,14,24,1,23,False,14,True,False,23,True,False
1000000000000010011,6,1,1,0,True,6,True,False,0,True,False
1000000000000010017,22,23,1,22,False,22,True,False,22,True,False
1000000000000010039,32,22,1,21,False,32,True,False,21,True,False
1000000000000010071,28,22,1,21,False,28,True,False,21,True,False
1000000000000010099,48,22,1,21,False,48,True,False,21,True,False
1000000000000010147,14,22,1,21,False,14,True,False,21,True,False
1000000000000010161,12,22,1,21,False,12,True,False,21,True,False
1000000000000010173,28,22,1,21,False,28,True,False,21,True,False
1000000000000010201,192,21,1,20,False,192,True,False,20,True,False
1000000000000010393,44,25,1,24,False,44,True,False,24,True,False
1000000000000010437,10,27,1,26,False,10,True,False,26,True,False
1000000000000010447,20,26,1,25,False,20,True,False,25,True,False
1000000000000010467,16,1,1,0,True,16,True,False,0,True,False
1000000000000010483,138,25,1,24,False,138,True,False,24,True,False
1000000000000010621,8,1,1,0,True,8,True,False,0,True,False
