left_prime,right_prime,gap,left_prime_mod_wheel,winner_value,winner_divisor_count,winner_offset,earlier_value,earlier_divisor_count,earlier_offset,first_d4_offset,square_margin,first_later_dominator_offset,critical_ratio_margin,bridge_load
388565293,388565297,4,7123,388565296,30,3,388565294,32,1,,194792,2,0.07142857116832535,3.643444657086549e-09
392313793,392313797,4,1873,392313796,30,3,392313794,32,1,,241172,2,0.07142857117093704,3.606881016082754e-09
209328013,209328017,4,18913,209328016,30,3,209328015,32,2,,313424,1,0.0714285711792324,3.4907459145472347e-09
215339389,215339393,4,24289,215339391,30,2,215339390,32,1,,251096,1,0.07142857118655055,3.388291869299566e-09
217961197,217961201,4,3457,217961199,30,2,217961198,32,1,,103088,1,0.07142857118961254,3.3454239378727396e-09
422844109,422844113,4,21709,422844112,30,3,422844110,32,1,,1227536,2,0.07142857119044055,3.3338318772280234e-09
221071211,221071217,6,20381,221071216,30,5,221071215,32,4,,15944,1,0.07142857119314772,3.2959315277025797e-09
428044273,428044277,4,26683,428044276,30,3,428044274,32,1,,155972,2,0.07142857119347834,3.2913027858683125e-09
221642497,221642501,4,21097,221642500,30,3,221642499,32,2,,99380,1,0.07142857119378587,3.286997340978816e-09
221827597,221827601,4,26017,221827600,30,3,221827599,32,2,,93008,1,0.07142857119399215,3.284109428847161e-09
223744273,223744277,4,20773,223744275,30,2,223744274,32,1,,326684,1,0.0714285711961058,3.2545184325272215e-09
223817173,223817177,4,3583,223817175,30,2,223817174,32,1,,253784,1,0.07142857119618551,3.2534024363428683e-09
433010797,433010801,4,8227,433010800,30,3,433010798,32,1,,3680,2,0.07142857119630963,3.251664715264725e-09
438093709,438093713,4,16069,438093712,30,3,438093710,32,1,,348008,2,0.07142857119913892,3.2120546222813585e-09
439062733,439062737,4,24133,439062736,30,3,439062734,32,1,,216944,2,0.07142857119967072,3.2046094666782222e-09
445075597,445075601,4,967,445075600,30,3,445075598,32,1,,176600,2,0.07142857120291746,3.159155159693229e-09
