left_prime,right_prime,gap,left_prime_mod_wheel,winner_value,winner_divisor_count,winner_offset,earlier_value,earlier_divisor_count,earlier_offset,first_d4_offset,square_margin,first_later_dominator_offset,critical_ratio_margin,bridge_load
3333427,3333431,4,97,3333430,16,3,3333429,18,2,,19130,1,0.14285712288370123,1.39814090971413e-07
3361747,3361751,4,28417,3361749,16,2,3361748,18,1,,49658,1,0.14285712306310416,1.3855827041275864e-07
3394843,3394847,4,1453,3394845,16,2,3394844,18,1,,16562,1,0.1428571232688438,1.3711809287997317e-07
6635263,6635267,4,28663,6635266,16,3,6635264,18,1,,15974,2,0.14285712366809844,1.3432331047447127e-07
3475897,3475903,6,22447,3475901,16,4,3475900,18,3,,9786,1,0.14285712375560378,1.3371077312029916e-07
3507227,3507233,6,23747,3507229,16,2,3507228,18,1,,896,1,0.1428571239374976,1.3243751628699846e-07
3584123,3584129,6,10553,3584125,16,2,3584124,18,1,,29672,1,0.14285712437001652,1.2940988391996205e-07
6972307,6972311,4,5347,6972310,16,3,6972308,18,1,,34298,2,0.1428571246531254,1.2742812183219604e-07
3834223,3834227,4,20413,3834226,16,3,3834225,18,2,,58502,1,0.1428571256527993,1.2043040453768588e-07
7360963,7360967,4,3613,7360966,16,3,7360964,18,1,,31994,2,0.14285712567344455,1.2028588769474885e-07
3864691,3864697,6,20851,3864693,16,2,3864692,18,1,,28032,1,0.14285712579733523,1.1941865296627446e-07
7458827,7458833,6,11387,7458831,16,4,7458829,18,2,,54248,2,0.14285712591306,1.1860857962453514e-07
7579699,7579703,4,12139,7579702,16,3,7579700,18,1,,76586,2,0.1428571262001821,1.1659872489744322e-07
4014667,4014671,4,20677,4014669,16,2,4014668,18,1,,29450,1,0.14285712647575854,1.146696897436073e-07
11423851,11423857,6,12451,11423855,16,4,11423852,18,1,,61464,3,0.14285712669783246,1.1311517233991713e-07
8020699,8020703,4,2689,8020702,16,3,8020700,18,1,,5186,2,0.14285712717202292,1.097958390872123e-07
4298683,4298687,4,4393,4298685,16,2,4298684,18,1,,31874,1,0.14285712762655112,1.0661414173718247e-07
4323707,4323713,6,29417,4323709,16,2,4323708,18,1,,6848,1,0.14285712772045245,1.0595683241909631e-07
4539823,4539827,4,5293,4539826,16,3,4539825,18,2,,1334,1,0.14285712848690202,1.0059168542575496e-07
9039067,9039071,4,37,9039070,16,3,9039068,18,1,,27050,2,0.14285712904302028,9.66988575878958e-08
4801627,4801631,4,26857,4801629,16,2,4801628,18,1,,51578,1,0.142857129319937,9.47604406054126e-08
4822423,4822427,4,17623,4822426,16,3,4822425,18,2,,30782,1,0.1428571293821026,9.43252813634388e-08
4835923,4835927,4,1093,4835926,16,3,4835925,18,2,,17282,1,0.1428571294221601,9.404487877340277e-08
9283327,9283331,4,4057,9283330,16,3,9283328,18,1,,13070,2,0.1428571294288472,9.399806910614931e-08
4882523,4882529,6,17663,4882526,16,3,4882525,18,2,,14840,1,0.1428571295586729,9.308928916595964e-08
9396043,9396047,4,26683,9396046,16,3,9396044,18,1,,10442,2,0.14285712959990704,9.280065027539312e-08
