scale,vector_mode,candidate_domain,anchor_p,seed_q0,true_q_for_audit_only,selected_q,selected_delta_from_true,selected_csr,min_tie_count,candidate_count,vector_length_used,failure_mode
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999827,999999999999839,999999999999877,999999999999947,70,11,1,116,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999827,999999999999839,999999999999877,999999999999947,70,11,1,7,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999827,999999999999839,999999999999877,999999999999947,70,11,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999827,999999999999839,999999999999877,999999999999947,70,11,1,8,128,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999827,999999999999839,999999999999877,999999999999840,-37,0,5,116,12,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999827,999999999999839,999999999999877,999999999999853,-24,1,4,7,12,selected_too_early
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999827,999999999999839,999999999999877,999999999999840,-37,0,5,128,12,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999827,999999999999839,999999999999877,999999999999853,-24,1,5,8,12,selected_too_early
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999809,999999999999817,999999999999827,999999999999847,20,9,1,120,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999809,999999999999817,999999999999827,999999999999877,50,14,1,8,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999809,999999999999817,999999999999827,999999999999847,20,9,1,128,128,selected_too_late
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999809,999999999999817,999999999999827,999999999999877,50,14,1,8,128,selected_too_late
1000000000000000,anchor_prefix_to_seed,all_integer_anchor_bound,999999999999809,999999999999817,999999999999827,999999999999818,-9,0,7,120,8,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_anchor_bound,999999999999809,999999999999817,999999999999827,999999999999827,0,1,6,8,8,correct
1000000000000000,anchor_prefix_to_seed,all_integer_seed_bound,999999999999809,999999999999817,999999999999827,999999999999818,-9,0,7,128,8,selected_too_early
1000000000000000,anchor_prefix_to_seed,visible_open_seed_bound,999999999999809,999999999999817,999999999999827,999999999999827,0,1,6,8,8,correct
1000000000000000,fixed_128_pre_shadow,all_integer_anchor_bound,999999999999577,999999999999599,999999999999643,999999999999629,-14,8,1,106,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_anchor_bound,999999999999577,999999999999599,999999999999643,999999999999619,-24,10,2,6,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,all_integer_seed_bound,999999999999577,999999999999599,999999999999643,999999999999629,-14,8,2,128,128,selected_too_early
1000000000000000,fixed_128_pre_shadow,visible_open_seed_bound,999999999999577,999999999999599,999999999999643,999999999999619,-24,10,2,7,128,selected_too_early
