anchor_p,offset,candidate_q,carrier,carrier_offset,carrier_d,post_carrier_lower_d_count,post_carrier_ge_d_count,interior_prime_offsets,structural_status,structural_reasons,exact_status,exact_reasons
13,48,61,25,12,3,0,27,4 6 10 16 18 24 28 30 34 40 46,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,54,67,25,12,3,0,32,4 6 10 16 18 24 28 30 34 40 46 48,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,58,71,25,12,3,0,35,4 6 10 16 18 24 28 30 34 40 46 48 54,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,60,73,25,12,3,0,36,4 6 10 16 18 24 28 30 34 40 46 48 54 58,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
13,64,77,25,12,3,0,39,4 6 10 16 18 24 28 30 34 40 46 48 54 58 60,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
17,2,19,18,1,6,0,0,,SURVIVES,,SURVIVES,
17,6,23,21,4,4,0,1,2,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,12,29,25,8,3,0,3,2 6,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,14,31,25,8,3,0,4,2 6 12,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,20,37,25,8,3,0,9,2 6 12 14,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,24,41,25,8,3,0,12,2 6 12 14 20,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,26,43,25,8,3,0,13,2 6 12 14 20 24,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,30,47,25,8,3,0,16,2 6 12 14 20 24 26,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,32,49,25,8,3,0,17,2 6 12 14 20 24 26 30,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
17,36,53,25,8,3,0,21,2 6 12 14 20 24 26 30,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,42,59,25,8,3,0,26,2 6 12 14 20 24 26 30 36,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,44,61,25,8,3,0,27,2 6 12 14 20 24 26 30 36 42,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,50,67,25,8,3,0,32,2 6 12 14 20 24 26 30 36 42 44,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,54,71,25,8,3,0,35,2 6 12 14 20 24 26 30 36 42 44 50,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,56,73,25,8,3,0,36,2 6 12 14 20 24 26 30 36 42 44 50 54,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
17,60,77,25,8,3,0,39,2 6 12 14 20 24 26 30 36 42 44 50 54 56,SURVIVES,,REJECTED,CANDIDATE_COMPOSITE INTERIOR_PRIME_BEFORE_CANDIDATE
17,62,79,25,8,3,0,41,2 6 12 14 20 24 26 30 36 42 44 50 54 56,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,4,23,21,2,4,0,1,,SURVIVES,,SURVIVES,
19,10,29,25,6,3,0,3,4,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,12,31,25,6,3,0,4,4 10,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,18,37,25,6,3,0,9,4 10 12,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
19,22,41,25,6,3,0,12,4 10 12 18,SURVIVES,,REJECTED,INTERIOR_PRIME_BEFORE_CANDIDATE
