scale,rule_id,anchor_p,seed_q0,true_q_for_audit_only,upper_bound,seed_least_factor_for_audit_only,seed_to_true_delta,least_factor_equals_seed_to_true_delta,selected_q,selected_delta_from_true,failure_mode,positions_checked,materialized_witness_count,did_evaluate,failure_reason,pure_pgs_eligible_input
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999287,999999999289,999999999293,999999999415,668029,4,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999161,999999999209,999999999247,999999999289,12577,38,False,999999999223,-24,selected_too_early,14,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999161,999999999209,999999999247,999999999289,12577,38,False,999999999223,-24,selected_too_early,14,0,True,,True
1000000000000,visible_integer_residue_advance,999999999161,999999999209,999999999247,999999999289,12577,38,False,999999999223,-24,selected_too_early,14,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999161,999999999209,999999999247,999999999289,12577,38,False,999999999223,-24,selected_too_early,14,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999161,999999999209,999999999247,999999999289,12577,38,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999999161,999999999209,999999999247,999999999289,12577,38,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999161,999999999209,999999999247,999999999289,12577,38,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999161,999999999209,999999999247,999999999289,12577,38,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999161,999999999209,999999999247,999999999289,12577,38,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999143,999999999151,999999999161,999999999271,15091,10,False,999999999161,0,correct,10,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999143,999999999151,999999999161,999999999271,15091,10,False,999999999161,0,correct,10,0,True,,True
1000000000000,visible_integer_residue_advance,999999999143,999999999151,999999999161,999999999271,15091,10,False,999999999161,0,correct,10,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999143,999999999151,999999999161,999999999271,15091,10,False,999999999161,0,correct,10,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999143,999999999151,999999999161,999999999271,15091,10,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999999143,999999999151,999999999161,999999999271,15091,10,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999143,999999999151,999999999161,999999999271,15091,10,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999143,999999999151,999999999161,999999999271,15091,10,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999143,999999999151,999999999161,999999999271,15091,10,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999998867,999999998869,999999998939,999999998995,373501,70,False,999999998897,-42,selected_too_early,28,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999998867,999999998869,999999998939,999999998995,373501,70,False,999999998897,-42,selected_too_early,28,0,True,,True
1000000000000,visible_integer_residue_advance,999999998867,999999998869,999999998939,999999998995,373501,70,False,999999998897,-42,selected_too_early,28,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999998867,999999998869,999999998939,999999998995,373501,70,False,999999998897,-42,selected_too_early,28,0,True,,True
